Zip_Code,Store_Location,Avg_Household_Income,Number_Organic
78204,South Flores,71186,36
78207,N. Rosillo st,34234,4
78204,Nogalitos st,71186,28
78201,Frederickburg rd,48760,31
78212,Olmos,78096,78
78202,N New Braunfels Ave,40506,14
78237,Castroville,38166,12
78228,Culebra rd,50398,18
78227,Marbach rd,49437,38
78240,Babcock rd,66073,84
78230,Wurzbach rd,86566,61
78251,W Loop 1604 N,78176,56
78238,Bandera rd,59154,62
78223,S.New Braunfels,50252,44
78221,SW Military,48364,26
78224,South Zarzamora,56274,29
78220,W.W. White rd,41318,15
78209,East basse rd,125145,95
78216,San pedro,65911,18
78223,S.E Military dr,50252,65
78218,Austiin hwy,53945,50
78213,West Avenue,59072,35
78227,Valley Hi dr,49437,36
78244,Foster dr,72080,28
78231,N.W Military hwy,108486,95
78239,Montogomery rd,70530,46
78217,Perrinbeiter rd,57199,29
78251,FM 471 west,78176,73
78250,Guilbeau rd,78288,53
78230,De Zavala,86566,86
78247,Thousand oaks,84181,68
78247,Oconnor rd,84181,56
78251,Potranco rd,78176,85
78247,Bulverde rd,84181,86
78248,NW Loop 1604,135547,93
78232,18140 San Pedro,92946,82
78249,9238 N Loop 1004 west,77894,96
